Car Name,Engine,Horsepower,Transmission,Top-speed,Cost,Latitude,Longitude
McLaren F1,V12,618,6,243,25000000,51.3168,0.56
Bugatti Chiron,W16,1479,7,250,3000000,48.5437,7.4915
Mercedes-AMG ONE,V6,748,8,217,2653000,48.7758,9.1829
McLaren Senna,V8,789,6,211,1500000,51.3168,0.56
Koenigseeg Agera,V8,1016,8,249,2500000,56.2457,12.8639
Porsche 918 Spyder,V8,850,7,211,900000,48.7758,9.1829
Ferrari LaFerrari,V12,949,7,232,2000000,44.5263,10.8667
Pagaani Huayra BC,V12,745,7,230,2550000,44.6471,10.9252
Aston Martin Valkyrie,V12,1250,7,250,3200000,52.2671,1.4675
Bugatti Veyronre,W16,987,7,268,2000000,48.5437,7.4915
