time,latitude,longitude,mag,place,type
1970-06-14T00:00:11.000Z,-52.028,-74.07,7.00,"near the coast of Magallanes, Chile",earthquake
1970-07-25T22:41:14.000Z,32.053,131.782,7.00,"Kyushu, Japan",earthquake
1970-07-29T10:16:22.000Z,25.977,95.34,7.00,Myanmar,earthquake
1970-12-02T15:54:22.000Z,-11.154,163.377,7.00,Solomon Islands,earthquake
1971-02-04T15:33:29.000Z,0.653,98.711,7.00,"Nias region, Indonesia",earthquake
1971-02-07T02:29:30.000Z,51.409,-176.974,7.00,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-02-08T21:04:20.000Z,-63.398,-61.377,7.00,South Shetland Islands,earthquake
1971-04-08T07:45:59.000Z,-4.33,102.285,7.00,"southern Sumatra, Indonesia",earthquake
1971-05-02T06:08:27.000Z,51.396,-177.318,7.00,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-05-18T22:44:43.000Z,63.952,145.965,7.00,"Magadanskaya Oblast', Russia",earthquake
1971-07-19T00:14:46.000Z,-5.754,153.868,7.00,"New Ireland region, Papua New Guinea",earthquake
1971-07-26T02:25:00.000Z,-5.116,152.282,7.00,"New Britain region, Papua New Guinea",earthquake
1971-09-16T06:22:40.000Z,-5.912,130.603,7.00,Banda Sea,earthquake
1972-01-23T21:17:54.000Z,-13.248,166.407,7.00,Vanuatu,earthquake
1972-04-24T09:57:21.000Z,23.564,121.539,7.00,Taiwan,earthquake
1972-11-02T19:55:22.000Z,-20.122,168.949,7.00,"Loyalty Islands, New Caledonia",earthquake
1973-03-17T08:30:51.800Z,13.372,122.787,7.00,"Luzon, Philippines",earthquake
1973-10-06T15:07:37.300Z,-60.823,-21.549,7.00,east of the South Sandwich Islands,earthquake
1975-02-04T11:36:07.500Z,40.641,122.58,7.00,"Liaoning, China",earthquake
1975-06-10T13:47:14.500Z,43.024,147.734,7.00,Kuril Islands,earthquake
1975-10-01T03:29:58.900Z,-4.882,102.198,7.00,"southern Sumatra, Indonesia",earthquake
1975-10-06T22:24:16.200Z,-12.519,166.499,7.00,Santa Cruz Islands,earthquake
1976-01-21T10:05:24.100Z,44.915,149.123,7.00,Kuril Islands,earthquake
1976-04-08T02:40:27.000Z,40.311,63.773,7.00,western Uzbekistan,earthquake
1976-05-17T02:58:40.600Z,40.381,63.472,7.00,western Uzbekistan,earthquake
1976-05-29T14:00:18.500Z,24.531,98.71,7.00,Myanmar-China border region,earthquake
1976-06-20T20:53:13.400Z,3.397,96.318,7.00,"northern Sumatra, Indonesia",earthquake
1976-07-11T20:41:47.500Z,7.409,-78.127,7.00,Panama,earthquake
1977-03-18T21:43:52.400Z,16.773,122.327,7.00,"Luzon, Philippines",earthquake
1978-06-17T15:11:33.500Z,-17.098,-172.264,7.00,Tonga region,earthquake
1978-08-23T00:38:32.200Z,10.204,-85.222,7.00,Costa Rica,earthquake
